"dominant_cluster","hri_category","count","prop"
"1","Very Low",6,0.111111111111111
"1","Low",12,0.222222222222222
"1","Medium",10,0.185185185185185
"1","High",12,0.222222222222222
"1","Very High",14,0.259259259259259
"2","Very Low",6,0.230769230769231
"2","Low",5,0.192307692307692
"2","Medium",5,0.192307692307692
"2","High",9,0.346153846153846
"2","Very High",1,0.0384615384615385
"3","Very Low",5,0.25
"3","Low",1,0.05
"3","Medium",7,0.35
"3","Very High",7,0.35
"4","Very Low",3,0.176470588235294
"4","Low",4,0.235294117647059
"4","Medium",5,0.294117647058824
"4","High",5,0.294117647058824
