"dominant_cluster","hri_category","count","prop"
"1","Very Low",3,0.0810810810810811
"1","Low",8,0.216216216216216
"1","Medium",9,0.243243243243243
"1","High",4,0.108108108108108
"1","Very High",13,0.351351351351351
"2","Very Low",2,0.142857142857143
"2","Low",4,0.285714285714286
"2","Medium",2,0.142857142857143
"2","High",5,0.357142857142857
"2","Very High",1,0.0714285714285714
"3","Very Low",6,0.142857142857143
"3","Low",8,0.19047619047619
"3","Medium",12,0.285714285714286
"3","High",15,0.357142857142857
"3","Very High",1,0.0238095238095238
