"dominant_cluster","hri_category","count","prop"
"1","Low",3,0.3
"1","Medium",3,0.3
"1","High",4,0.4
"2","Very Low",2,0.133333333333333
"2","Low",2,0.133333333333333
"2","Medium",2,0.133333333333333
"2","High",5,0.333333333333333
"2","Very High",4,0.266666666666667
"3","Very Low",1,0.0454545454545455
"3","Low",2,0.0909090909090909
"3","Medium",6,0.272727272727273
"3","High",9,0.409090909090909
"3","Very High",4,0.181818181818182
"4","Very Low",3,0.333333333333333
"4","Low",4,0.444444444444444
"4","Medium",1,0.111111111111111
"4","High",1,0.111111111111111
"5","Medium",6,0.428571428571429
"5","High",6,0.428571428571429
"5","Very High",2,0.142857142857143
