"dominant_cluster","hri_category","count","prop"
"1","Low",1,0.2
"1","Medium",1,0.2
"1","High",1,0.2
"1","Very High",2,0.4
"2","Very Low",11,0.159420289855072
"2","Low",10,0.144927536231884
"2","Medium",12,0.173913043478261
"2","High",21,0.304347826086957
"2","Very High",15,0.217391304347826
"3","Very Low",5,0.208333333333333
"3","Low",5,0.208333333333333
"3","Medium",5,0.208333333333333
"3","High",3,0.125
"3","Very High",6,0.25
"4","Very Low",9,0.264705882352941
"4","Low",8,0.235294117647059
"4","Medium",10,0.294117647058824
"4","High",5,0.147058823529412
"4","Very High",2,0.0588235294117647
