"dominant_cluster","hri_category","count","prop"
"1","Low",1,0.142857142857143
"1","Medium",3,0.428571428571429
"1","High",2,0.285714285714286
"1","Very High",1,0.142857142857143
"2","Very Low",3,0.06
"2","Low",4,0.08
"2","Medium",9,0.18
"2","High",21,0.42
"2","Very High",13,0.26
"3","Very Low",9,0.36
"3","Low",6,0.24
"3","Medium",8,0.32
"3","High",1,0.04
"3","Very High",1,0.04
"4","Very Low",12,0.25
"4","Low",14,0.291666666666667
"4","Medium",10,0.208333333333333
"4","High",6,0.125
"4","Very High",6,0.125
