"alpha","beta","a_H","a_E","a_V","mean_std_hri","median_std_hri","sd_std_hri"
0.3,0.7,0.3,0.35,0.35,0.38658834965984,0.40661612294921,0.211599501599953
0.3,0.7,0.4,0.3,0.3,0.367670387010983,0.369812287084582,0.220069682275796
0.3,0.7,0.3,0.4,0.3,0.401032829828116,0.422191949194129,0.21650230089141
0.3,0.7,0.3,0.3,0.4,0.371153297935277,0.385453874798329,0.206832363468083
0.3,0.7,0.333333333333333,0.333333333333333,0.333333333333333,0.379978936433874,0.393757880016553,0.214323117523068
0.4,0.6,0.3,0.35,0.35,0.369384032419562,0.386424994796827,0.205543916063771
0.4,0.6,0.4,0.3,0.3,0.352987499531501,0.355686771478623,0.213814990668099
0.4,0.6,0.3,0.4,0.3,0.3832089997028,0.403460105447164,0.210111124542588
0.4,0.6,0.3,0.3,0.4,0.354689703231802,0.366326529116343,0.201113393719576
0.4,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.363676239157666,0.375908649874528,0.208218624017702
0.5,0.5,0.3,0.35,0.35,0.349480286935326,0.36257822307574,0.198666830094397
0.5,0.5,0.4,0.3,0.3,0.335795234819795,0.337362140071025,0.206593823658092
0.5,0.5,0.3,0.4,0.3,0.362472999883674,0.380342710095896,0.202813882817905
0.5,0.5,0.3,0.3,0.4,0.335755634762903,0.344328995813691,0.194654345930675
0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.34473646017274,0.353989694019589,0.201244101669939
0.6,0.4,0.3,0.35,0.35,0.32618770022184,0.33467126462965,0.190813229822235
0.6,0.4,0.4,0.3,0.3,0.315390187956376,0.314412080813574,0.198182555831522
0.6,0.4,0.3,0.4,0.3,0.338047625064085,0.346261670054217,0.194430613172452
0.6,0.4,0.3,0.3,0.4,0.313749920619812,0.318762835508187,0.187322766399795
0.6,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.32246344417919,0.328213191838253,0.193221274211893
0.7,0.3,0.3,0.35,0.35,0.298560253278456,0.301570689613902,0.181805452512217
0.7,0.3,0.4,0.3,0.3,0.29077896235063,0.285115542431427,0.188298836543319
0.7,0.3,0.3,0.4,0.3,0.308852101632524,0.310573088976344,0.184752965190992
0.7,0.3,0.3,0.3,0.4,0.287859116101198,0.288682991043371,0.178968075820612
0.7,0.3,0.333333333333333,0.333333333333333,0.333333333333333,0.295892358860881,0.297462545456721,0.183937117561147
